,time,hour,Alcalde,Avila_Camacho,Enrique_Diaz_de_Leon,Federalismo,Hidalgo,Independencia,Juarez,Lazaro_Cardenas,Lopez_Mateos,Vallarta,origin,destination,Ruta
0,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
1,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
2,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
3,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
4,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
5,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
6,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
7,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
8,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
9,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
10,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
11,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
12,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
13,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
14,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
15,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
16,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
17,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
18,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
19,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
20,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
21,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
22,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
23,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
24,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
25,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
26,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
27,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
28,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
29,2019-05-03 5:44:21,5,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
30,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
31,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
32,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
33,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
34,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
35,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
36,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
37,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
38,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
39,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
40,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
41,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
42,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
43,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
44,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
45,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
46,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
47,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
48,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
49,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
50,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
51,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
52,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
53,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
54,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
55,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
56,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
57,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
58,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
59,2019-05-03 6:44:21,6,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
60,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
61,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
62,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
63,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
64,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
65,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
66,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
67,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
68,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
69,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
70,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
71,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
72,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
73,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
74,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
75,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
76,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
77,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
78,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
79,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
80,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
81,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
82,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
83,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
84,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
85,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
86,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
87,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
88,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
89,2019-05-03 7:44:21,7,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
90,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Plaza Galerías,L3_629-1
91,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Andares,635-A
92,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Secretaría de Movilidad,L3_30
93,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,La Minerva,258
94,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Hospicio Cabañas,Basílica de Zapopan,258_24
95,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Hospicio Cabañas,C01_258
96,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Andares,27_27-A
97,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Secretaría de Movilidad,25_380
98,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,La Minerva,629-2
99,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Plaza Galerías,Basílica de Zapopan,632-A_631
100,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Andares,Hospicio Cabañas,C54-L3
101,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Andares,Plaza Galerías,635-B_632-A
102,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Andares,Secretaría de Movilidad,632_619-Azul
103,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Andares,La Minerva,635-B
104,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Andares,Basílica de Zapopan,635-A
105,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Hospicio Cabañas,175-A_258_D
106,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
107,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Andares,380_635-B
108,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,La Minerva,258-A
109,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Secretaría de Movilidad,Basílica de Zapopan,30_15
110,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,La Minerva,Hospicio Cabañas,258
111,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,La Minerva,Plaza Galerías,629-1
112,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,La Minerva,Andares,24_C54
113,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,La Minerva,Secretaría de Movilidad,258-A
114,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,La Minerva,Basílica de Zapopan,635-A
115,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Hospicio Cabañas,24_L3
116,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Plaza Galerías,631_632-A
117,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Andares,635-A
118,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,Secretaría de Movilidad,631_380
119,2019-05-03 8:44:21,8,0,0,1,1,0,0,1,0,0,1,Basílica de Zapopan,La Minerva,24
120,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
121,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
122,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
123,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
124,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
125,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
126,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
127,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
128,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
129,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
130,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
131,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
132,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
133,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
134,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
135,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
136,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
137,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
138,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
139,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
140,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
141,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
142,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Andares,710
143,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Secretaría de Movilidad,258-A
144,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,La Minerva,Basílica de Zapopan,24
145,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Hospicio Cabañas,24_L3
146,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Plaza Galerías,635-A_25
147,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Andares,635-A
148,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,Secretaría de Movilidad,631_TL1
149,2019-05-03 9:44:21,9,0,0,0,0,0,0,0,0,0,0,Basílica de Zapopan,La Minerva,24
150,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Plaza Galerías,L3_629-1
151,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Andares,L3_710
152,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Secretaría de Movilidad,L3_LT1
153,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,La Minerva,258
154,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Hospicio Cabañas,Basílica de Zapopan,258_24
155,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Hospicio Cabañas,L1_L3
156,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Andares,25
157,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Secretaría de Movilidad,25_380
158,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,La Minerva,629-A
159,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Plaza Galerías,Basílica de Zapopan,632-A_631
160,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Hospicio Cabañas,C54-L3
161,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Plaza Galerías,632-A
162,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Secretaría de Movilidad,632_619-Azul
163,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,La Minerva,710
164,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Andares,Basílica de Zapopan,635-A
165,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Hospicio Cabañas,30_L3
166,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Plaza Galerías,258-A_368_629-2
167,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Andares,380_635-B
168,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,La Minerva,258-A
169,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,Secretaría de Movilidad,Basílica de Zapopan,30_631
170,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Hospicio Cabañas,L1_TL2
171,2019-05-03 10:44:21,10,0,0,0,0,0,0,0,0,0,0,La Minerva,Plaza Galerías,L1
